kpi,settimana,mese,trimestre,semestre,anno,userid,indicatorsprev,indicatorscons
VSS,34,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,2300.0,2300.0
VSS,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,870.0,870.0
VSS,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,31,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,31,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,31,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,8700.0,8700.0
VSS,31,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,29,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,290.0,290.0
VSS,29,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,1200.0,1200.0
VSS,23,6,2,1,2025,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,20,5,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1200.0,1200.0
VSS,14,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,47190.0,47190.0
VSS,14,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,8,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,1380.0,1380.0
VSS,8,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSS,8,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSS,7,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,9400.0,9400.0
VSS,4,1,1,1,2025,2e64a0dc2dbd0cdc197a35a4,10790.0,10790.0
VSS,43,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,500.0,500.0
VSS,42,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,42,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,26,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,7000.0,7000.0
VSS,23,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,23490.0,23490.0
VSS,21,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,12690.0,12690.0
VSS,19,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,900.0,900.0
VSS,15,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,58690.0,58690.0
VSS,15,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1700.0,1700.0
VSS,14,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1400.0,1400.0
VSS,14,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,109590.0,109590.0
VSS,10,3,1,1,2024,2e64a0dc2dbd0cdc197a35a4,7000.0,7000.0
VSS,10,3,1,1,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,10,3,1,1,2024,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSS,9,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,2900.0,2900.0
VSS,9,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,8,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSS,8,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,35,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,700.0,700.0
VSDPersonale,34,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDPersonale,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,1000.0,1000.0
VSDPersonale,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,120.0,120.0
