settimana,vss,vsdpersonale,vsdindiretto,nncf
51,0.0,600.0,0.0,0.0
49,0.0,1000.0,0.0,0.0
48,0.0,2900.0,0.0,0.0
47,0.0,1000.0,4000.0,0.0
46,0.0,3000.0,0.0,0.0
45,0.0,1500.0,0.0,0.0
44,0.0,2500.0,0.0,0.0
43,500.0,3700.0,2000.0,0.0
42,1400.0,3000.0,1800.0,2.0
41,0.0,3000.0,2000.0,0.0
40,0.0,5000.0,0.0,0.0
39,0.0,0.0,7000.0,0.0
38,0.0,3300.0,0.0,0.0
37,0.0,3500.0,0.0,0.0
36,0.0,5000.0,3200.0,0.0
35,0.0,1000.0,4000.0,0.0
34,0.0,1900.0,0.0,0.0
32,0.0,6000.0,0.0,0.0
31,0.0,3500.0,0.0,0.0
30,0.0,1500.0,0.0,0.0
29,0.0,4000.0,0.0,0.0
28,0.0,5000.0,3200.0,0.0
27,0.0,900.0,0.0,0.0
26,7000.0,0.0,0.0,0.0
25,0.0,2000.0,4000.0,0.0
23,23490.0,0.0,6400.0,0.0
21,12690.0,3000.0,0.0,0.0
20,0.0,0.0,900.0,0.0
19,900.0,0.0,1600.0,0.0
18,0.0,1400.0,0.0,0.0
17,0.0,2100.0,0.0,0.0
16,0.0,2400.0,0.0,0.0
15,60390.0,0.0,0.0,1.0
14,110990.0,0.0,0.0,1.0
13,0.0,2000.0,0.0,0.0
10,10700.0,0.0,0.0,1.0
9,3600.0,700.0,0.0,2.0
8,1400.0,0.0,0.0,2.0
