settimana,vss,vsdpersonale,vsdindiretto,nncf
35,0.0,700.0,0.0,0.0
34,2300.0,1000.0,0.0,1.0
32,1860.0,3120.0,0.0,3.0
31,9570.0,120.0,0.0,4.0
30,1450.0,660.0,1000.0,5.0
29,1490.0,2000.0,0.0,1.0
28,0.0,1480.0,3000.0,0.0
27,0.0,1000.0,0.0,0.0
25,0.0,4140.0,2000.0,0.0
24,0.0,4000.0,0.0,0.0
23,700.0,3000.0,0.0,0.0
21,0.0,3720.0,1000.0,0.0
20,1200.0,5000.0,0.0,0.0
19,0.0,1000.0,4600.0,0.0
17,0.0,4600.0,1000.0,0.0
15,0.0,2700.0,0.0,0.0
14,47890.0,3000.0,1600.0,1.0
12,0.0,2000.0,8000.0,0.0
10,0.0,1300.0,0.0,0.0
9,0.0,2680.0,2700.0,0.0
8,7380.0,0.0,0.0,2.0
7,9400.0,2000.0,0.0,0.0
6,0.0,1000.0,0.0,0.0
5,0.0,1000.0,0.0,0.0
4,10790.0,1000.0,6000.0,0.0
3,0.0,4600.0,0.0,0.0
